date,open,high,low,close,volume
2006-10-18,101.0,101.45,100.46,100.67,247100
2006-10-19,100.87,100.92,99.42,99.58,266300
2006-10-20,99.57,100.23,98.76,100.029999,592200
2006-10-23,99.93,100.54,99.38,100.51,628000
2006-10-24,100.62,101.71,99.99,101.2,670800
2006-10-25,101.58,101.6,99.8,100.33,509600
2006-10-26,100.41,101.54,100.0,101.42,588600
2006-10-27,101.019997,101.34,99.059998,99.31,412800
2006-10-30,99.059998,99.59,98.89,99.4,438000
2006-10-31,99.85,99.85,98.98,99.18,445200
2006-11-01,99.4,99.66,98.35,98.56,323600
2006-11-02,98.49,99.39,97.92,99.22,419700
2006-11-03,99.38,99.8,98.8,99.3,323300
2006-11-06,99.65,100.5,99.53,100.4,503800
2006-11-07,100.64,101.080002,100.37,100.98,223100
2006-11-08,100.41,101.089996,100.25,100.93,285900
2006-11-09,101.43,101.61,100.77,101.0,471800
2006-11-10,101.32,101.5,100.93,101.45,462100
2006-11-13,102.0,102.84,101.7,102.059998,426800
2006-11-14,102.12,102.38,100.84,102.36,376300
2006-11-15,102.059998,102.44,101.15,101.41,249700
2006-11-16,102.12,102.93,101.54,102.51,389800
2006-11-17,102.51,102.72,101.28,101.55,321300
2006-11-20,101.95,102.12,100.84,101.11,401000
2006-11-21,100.89,101.24,99.91,100.21,514500
2006-11-22,100.099998,100.63,99.58,100.099998,284000
2006-11-24,99.74,100.23,99.69,100.16,84000
2006-11-27,99.91,100.07,97.98,98.080002,421100
2006-11-28,98.019997,98.53,97.78,97.91,339600
2006-11-29,98.39,99.15,98.050003,99.010002,619000
2006-11-30,98.88,99.27,98.029999,98.41,402500
2006-12-01,98.5,98.61,97.71,98.45,410800
2006-12-04,98.45,99.58,98.39,99.28,274100
2006-12-05,99.64,100.089996,99.23,99.76,549600
2006-12-06,99.34,99.87,99.010002,99.42,267800
2006-12-07,99.62,99.95,99.16,99.35,308500
2006-12-08,99.47,99.99,99.35,99.61,145200
2006-12-11,99.61,99.87,99.44,99.86,228200
2006-12-12,99.62,100.61,99.62,99.95,334200
2006-12-13,100.0,100.13,98.36,98.71,465300
2006-12-14,98.85,99.19,98.53,98.86,350000
2006-12-15,98.66,99.4,97.78,97.94,826400
2006-12-18,97.79,98.47,97.63,97.95,269600
2006-12-19,98.040001,99.029999,97.84,98.92,424900
2006-12-20,98.92,99.86,98.92,99.010002,399900
2006-12-21,99.019997,99.9,98.83,99.14,336400
2006-12-22,99.39,99.43,98.81,99.17,185600
2006-12-26,98.92,98.98,98.28,98.69,133700
2006-12-27,98.69,99.24,98.51,98.91,178700
2006-12-28,98.91,99.080002,98.65,98.86,354500
2006-12-29,98.86,98.86,97.99,98.11,120400
2007-01-03,98.12,99.58,98.12,99.25,514500
2007-01-04,99.31,99.32,98.25,98.92,365500
2007-01-05,98.44,98.61,97.43,97.62,247300
2007-01-08,97.62,97.89,96.62,97.26,744300
2007-01-09,97.26,97.5,96.77,97.07,297700
2007-01-10,97.080002,97.49,96.28,97.25,463100
