date,open,high,low,close,volume
2006-10-18,59.34,59.74,59.080002,59.37,1029700
2006-10-19,59.22,59.85,59.16,59.73,828200
2006-10-20,59.89,59.89,58.82,59.37,863000
2006-10-23,58.95,59.73,58.95,59.65,692300
2006-10-24,59.35,59.73,58.9,59.5,1233500
2006-10-25,58.5,60.37,58.31,59.51,1168900
2006-10-26,59.6,60.14,58.93,60.029999,1195500
2006-10-27,59.5,59.93,58.7,59.15,1277500
2006-10-30,59.32,60.68,59.12,60.61,1205400
2006-10-31,60.52,60.56,60.0,60.25,1275200
2006-11-01,60.5,61.55,60.17,61.060001,1490400
2006-11-02,60.75,61.83,60.73,61.7,2225500
2006-11-03,61.85,62.27,60.89,61.029999,1386200
2006-11-06,61.17,61.36,60.7,60.88,1348900
2006-11-07,61.0,61.41,60.71,61.35,1874900
2006-11-08,61.25,61.84,61.17,61.55,2038200
2006-11-09,61.51,61.61,61.060001,61.3,2483500
2006-11-10,61.53,61.76,61.18,61.76,1698400
2006-11-13,61.76,62.62,61.67,62.55,1589900
2006-11-14,62.4,62.75,61.71,62.7,1768300
2006-11-15,62.55,63.19,62.45,62.94,1700400
2006-11-16,63.19,63.4,62.98,63.2,1874500
2006-11-17,62.84,63.7,62.79,63.24,1602300
2006-11-20,63.040001,63.32,62.7,62.85,981900
2006-11-21,62.8,63.07,62.68,62.77,1036900
2006-11-22,62.92,63.69,62.87,63.39,634100
2006-11-24,62.78,63.66,62.78,63.54,631100
2006-11-27,63.29,63.3,62.0099983,62.07,1119400
2006-11-28,62.029999,62.8,61.82,62.2,1060000
2006-11-29,62.3,62.71,62.060001,62.64,534300
2006-11-30,62.33,62.9,62.33,62.4,1550400
2006-12-01,62.45,62.57,61.87,62.4,1159300
2006-12-04,62.29,63.27,62.29,62.9,1504200
2006-12-05,62.7,62.87,62.31,62.42,1020400
2006-12-06,62.22,62.36,61.63,61.88,1232200
2006-12-07,62.2,62.42,61.92,62.13,705600
2006-12-08,61.98,62.44,61.85,62.2,1056400
2006-12-11,62.42,62.44,61.78,61.93,1001700
2006-12-12,61.65,61.78,61.16,61.63,1049800
2006-12-13,62.24,62.24,61.59,61.8,760900
2006-12-14,61.9,62.33,61.7,62.25,926600
2006-12-15,62.26,62.47,61.89,62.22,1595500
2006-12-18,62.4,62.4,61.89,61.95,683000
2006-12-19,61.83,62.47,61.42,61.9,1050800
2006-12-20,61.85,62.6,61.78,62.040001,1134200
2006-12-21,61.66,61.75,58.51,59.71,4801800
2006-12-22,59.4,59.71,58.74,58.87,2272900
2006-12-26,59.049999,60.0,58.75,59.83,1084300
2006-12-27,60.040001,60.29,59.78,60.02,969400
2006-12-28,59.7,60.02,59.44,59.74,986900
2006-12-29,59.7,59.7,59.09,59.33,781100
2007-01-03,59.46,60.35,59.19,59.78,1990900
2007-01-04,59.78,59.86,58.68,58.85,2381800
2007-01-05,58.55,59.3,58.32,58.99,3122200
2007-01-08,58.99,59.35,57.97,59.27,1717900
2007-01-09,59.6,60.15,59.18,59.9,2452200
2007-01-10,59.52,60.36,59.15,60.22,1320400
2007-01-11,60.38,61.17,60.19,61.060001,1491700
2007-01-12,60.74,61.68,60.2,61.57,1641900
2007-01-16,61.9,61.95,61.41,61.49,966700
2007-01-17,61.49,61.89,61.07,61.65,1126700
2007-01-18,61.97,62.099998,61.49,61.96,1330700
2007-01-19,62.099998,62.17,61.43,61.7,1500800
2007-01-22,61.45,61.69,61.23,61.43,1475000
2007-01-23,61.25,62.17,61.25,61.91,1881600
2007-01-24,61.37,63.18,61.29,63.18,2132900
2007-01-25,62.95,63.12,61.85,62.29,1858500
2007-01-26,62.38,62.65,61.8,62.35,1344300
2007-01-29,62.22,63.0,61.57,62.25,1661000
2007-01-30,62.35,62.47,62.060001,62.38,1029200
2007-01-31,62.32,63.35,62.12,63.060001,1625100
2007-02-01,63.040001,64.2,62.77,63.5,1438200
2007-02-02,63.67,63.76,62.82,63.23,1067700
2007-02-05,63.14,63.39,62.91,63.099998,985900
2007-02-06,63.2,63.41,62.9,63.13,1426100
2007-02-07,63.29,63.65,63.2,63.4,941500
2007-02-08,63.37,63.46,62.65,62.77,1409500
